[2022-5-15 20:55:47] method=POST path="/login" request-duration=0.0233ms
[2022-5-15 20:55:51] method=GET path="/todos" request-duration=0.0039ms
[2022-5-15 20:55:54] method=GET path="/refresh" request-duration=0.003ms
[2022-5-15 20:55:57] method=GET path="/todos" request-duration=0.0029ms
[2022-5-15 20:55:59] method=PUT path="/todos" request-duration=0.003ms
[2022-5-15 20:56:0] method=PUT path="/todos" request-duration=0.0035ms
[2022-5-15 20:56:0] method=PUT path="/todos/102" request-duration=0.003ms
[2022-5-15 20:56:2] method=PUT path="/todos" request-duration=0.0037ms
[2022-5-15 20:56:3] method=PUT path="/todos" request-duration=0.0037ms
[2022-5-15 20:56:5] method=PUT path="/todos" request-duration=0.015ms
[2022-5-15 20:56:6] method=PUT path="/todos" request-duration=0.0017ms
[2022-5-15 20:56:6] method=PUT path="/todos" request-duration=0.0023ms
[2022-5-15 20:56:7] method=PUT path="/todos/102" request-duration=0.0014ms
[2022-5-15 20:56:9] method=PUT path="/todos/105" request-duration=0.0016ms
[2022-5-15 20:56:11] method=PUT path="/todos" request-duration=0.0014ms
[2022-5-15 20:56:12] method=PUT path="/todos" request-duration=0.0016ms
[2022-5-15 20:56:12] method=PUT path="/todos" request-duration=0.0015ms
[2022-5-15 20:56:14] method=DELETE path="/todos/105" request-duration=0.0017ms
[2022-5-15 20:56:16] method=POST path="/todos" request-duration=0.0017ms
[2022-5-15 22:47:26] method=GET path="/refresh" request-duration=0.0265ms
[2022-5-15 22:47:29] method=GET path="/todos" request-duration=0.0034ms
[2022-5-15 22:47:37] method=GET path="/refresh" request-duration=0.0029ms
[2022-5-15 22:47:38] method=GET path="/todos" request-duration=0.0034ms
[2022-5-15 22:47:40] method=PUT path="/todos" request-duration=0.0048ms
[2022-5-15 22:47:41] method=PUT path="/todos" request-duration=0.004ms
[2022-5-15 22:47:42] method=PUT path="/todos" request-duration=0.0036ms
[2022-5-15 22:47:43] method=PUT path="/todos/102" request-duration=0.0033ms
[2022-5-15 22:47:44] method=PUT path="/todos" request-duration=0.0035ms
[2022-5-15 22:47:46] method=DELETE path="/todos" request-duration=0.0346ms
[2022-5-15 22:47:48] method=POST path="/todos" request-duration=0.0021ms
[2022-5-15 22:47:49] method=POST path="/todos" request-duration=0.0021ms
[2022-5-15 22:47:50] method=POST path="/todos" request-duration=0.0019ms
[2022-5-15 22:48:14] method=GET path="/refresh" request-duration=0.0017ms
[2022-5-15 22:48:15] method=GET path="/refresh" request-duration=0.005ms
[2022-5-15 22:48:20] method=GET path="/refresh" request-duration=0.0019ms
[2022-5-15 22:48:20] method=GET path="/refresh" request-duration=0.0037ms
[2022-5-15 22:48:24] method=GET path="/refresh" request-duration=0.0048ms
[2022-5-15 22:48:24] method=GET path="/refresh" request-duration=0.0026ms
[2022-5-15 22:51:13] method=GET path="/refresh" request-duration=0.0042ms
[2022-5-15 22:51:13] method=GET path="/refresh" request-duration=0.0027ms
[2022-5-15 22:51:29] method=GET path="/refresh" request-duration=0.002ms
[2022-5-15 22:51:29] method=GET path="/refresh" request-duration=0.0047ms
[2022-5-15 22:52:26] method=GET path="/refresh" request-duration=0.0021ms
[2022-5-15 22:52:26] method=GET path="/refresh" request-duration=0.0024ms
[2022-5-15 22:52:32] method=GET path="/refresh" request-duration=0.0019ms
[2022-5-15 22:52:33] method=GET path="/refresh" request-duration=0.0026ms
[2022-5-15 22:52:41] method=GET path="/refresh" request-duration=0.0018ms
[2022-5-15 22:52:41] method=GET path="/refresh" request-duration=0.0022ms
[2022-5-15 22:55:35] method=GET path="/refresh" request-duration=0.0022ms
[2022-5-15 22:55:35] method=GET path="/refresh" request-duration=0.0019ms
[2022-5-15 22:56:28] method=GET path="/refresh" request-duration=0.0022ms
[2022-5-15 22:56:28] method=GET path="/refresh" request-duration=0.0046ms
[2022-5-15 22:57:58] method=GET path="/refresh" request-duration=0.0017ms
[2022-5-15 22:57:58] method=GET path="/refresh" request-duration=0.0025ms
[2022-5-15 22:58:4] method=GET path="/refresh" request-duration=0.0023ms
[2022-5-15 22:58:4] method=GET path="/refresh" request-duration=0.0031ms
[2022-5-15 22:59:33] method=GET path="/refresh" request-duration=0.003ms
[2022-5-15 22:59:33] method=GET path="/refresh" request-duration=0.0027ms
[2022-5-15 23:0:6] method=GET path="/refresh" request-duration=0.0022ms
[2022-5-15 23:0:6] method=GET path="/refresh" request-duration=0.0032ms
[2022-5-15 23:0:19] method=GET path="/refresh" request-duration=0.005ms
[2022-5-15 23:0:19] method=GET path="/refresh" request-duration=0.0029ms
[2022-5-15 23:1:38] method=GET path="/todos" request-duration=0.0025ms
[2022-5-15 23:1:40] method=GET path="/todos" request-duration=0.0021ms
[2022-5-15 23:1:42] method=PUT path="/todos" request-duration=0.003ms
[2022-5-15 23:1:43] method=PUT path="/todos" request-duration=0.0019ms
[2022-5-15 23:1:44] method=PUT path="/todos" request-duration=0.0022ms
[2022-5-15 23:1:46] method=PUT path="/todos" request-duration=0.0021ms
[2022-5-15 23:1:47] method=PUT path="/todos" request-duration=0.0026ms
[2022-5-15 23:1:48] method=PUT path="/todos" request-duration=0.0023ms
[2022-5-15 23:1:51] method=PUT path="/todos/109" request-duration=0.0026ms
[2022-5-16 10:11:21] method=GET path="/refresh" request-duration=0.0183ms
[2022-5-16 10:12:14] method=GET path="/refresh" request-duration=0.0037ms
[2022-5-16 10:12:17] method=GET path="/refresh" request-duration=0.0026ms
[2022-5-16 10:13:20] method=GET path="/refresh" request-duration=0.0027ms
[2022-5-16 10:13:24] method=GET path="/refresh" request-duration=0.0029ms
[2022-5-16 10:15:42] method=GET path="/refresh" request-duration=0.0042ms
[2022-5-16 10:16:28] method=GET path="/refresh" request-duration=0.0035ms
[2022-5-16 10:16:31] method=GET path="/refresh" request-duration=0.004ms
